epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,linear_regions,eig_1,eig_2,spec_1,spec_2,spec_3
1,0.6084287166595459,0.5555518865585327,39.21625900268555,6.878422260284424,0.0,0.0,1.0,1206.8681640625,197.46646118164062,4.514381408691406,1.1153043508529663,0.5567291378974915
10,0.46449923515319824,0.45833972096443176,38.94865417480469,5.926774978637695,0.058607470244169235,0.058607470244169235,1.0,1207.3204345703125,196.7817840576172,4.514475345611572,1.1152700185775757,0.556111216545105
20,0.4572518467903137,0.45209699869155884,39.021244049072266,5.881086826324463,0.00860824529081583,0.06714826077222824,1.0,1209.114501953125,196.78672790527344,4.514593601226807,1.1152445077896118,0.5570884346961975
30,0.45428234338760376,0.44932106137275696,39.07598114013672,5.876131534576416,0.0009697143686935306,0.06805995851755142,1.0,1210.615478515625,196.93331909179688,4.514700412750244,1.1151889562606812,0.5578861236572266
40,0.4521801173686981,0.44735774397850037,39.13615798950195,5.878805160522461,9.97436000034213e-05,0.0680941492319107,1.0,1212.3677978515625,197.1496124267578,4.514808654785156,1.1151313781738281,0.5587468147277832
50,0.45053958892822266,0.4458130896091461,39.203697204589844,5.884857177734375,3.0406445148400962e-06,0.06802542507648468,1.0,1214.37353515625,197.4083251953125,4.514921188354492,1.1150751113891602,0.5596822500228882
60,0.44915562868118286,0.44449570775032043,39.27806854248047,5.892831802368164,6.322974513750523e-06,0.06794292479753494,1.0,1216.6016845703125,197.69717407226562,4.515038013458252,1.115020990371704,0.5606859922409058
70,0.4479145407676697,0.4433020353317261,39.358978271484375,5.902062892913818,6.326918082777411e-06,0.06785663217306137,1.0,1219.0377197265625,198.01084899902344,4.5151591300964355,1.1149682998657227,0.5617567896842957
80,0.4467531442642212,0.44217512011528015,39.446434020996094,5.912237167358398,5.645408236887306e-06,0.0677671730518341,1.0,1221.6785888671875,198.3475341796875,4.515285491943359,1.1149169206619263,0.5628969669342041
90,0.445636123418808,0.44108396768569946,39.540557861328125,5.923208236694336,5.097419489175081e-06,0.06767404079437256,1.0,1224.5269775390625,198.70687866210938,4.515416622161865,1.1148674488067627,0.564110517501831
100,0.44454360008239746,0.44001132249832153,39.64153289794922,5.9349164962768555,4.746281774714589e-06,0.06757654249668121,1.0,1227.5870361328125,199.0892333984375,4.5155510902404785,1.1148179769515991,0.5654006600379944
110,0.4434642195701599,0.43894752860069275,39.7495231628418,5.947345733642578,4.509656719164923e-06,0.06747409701347351,1.0,1230.8634033203125,199.4951934814453,4.515690803527832,1.1147698163986206,0.5667704343795776
120,0.44239136576652527,0.4378873407840729,39.86468505859375,5.960498809814453,4.364137566881254e-06,0.06736614555120468,1.0,1234.3603515625,199.9253387451172,4.515833377838135,1.1147220134735107,0.5682222843170166
130,0.44132110476493835,0.4368276000022888,39.98712158203125,5.974380970001221,4.282963345758617e-06,0.06725222617387772,1.0,1238.08154296875,200.3801727294922,4.515980243682861,1.1146748065948486,0.5697572231292725
140,0.44025084376335144,0.4357663094997406,40.11695861816406,5.9890031814575195,4.234480002196506e-06,0.06713199615478516,1.0,1242.030029296875,200.86013793945312,4.516130447387695,1.1146278381347656,0.5713769793510437
150,0.439179003238678,0.4347023069858551,40.25426483154297,6.004380702972412,4.2274914449080825e-06,0.06700509041547775,1.0,1246.2086181640625,201.36561584472656,4.516283988952637,1.1145814657211304,0.5730817317962646
160,0.4381043016910553,0.4336346685886383,40.399147033691406,6.020519733428955,4.231107595842332e-06,0.06687130033969879,1.0,1250.6192626953125,201.8969268798828,4.516441822052002,1.1145356893539429,0.5748717784881592
170,0.4370258152484894,0.43256258964538574,40.551639556884766,6.03743314743042,4.249413905199617e-06,0.06673038750886917,1.0,1255.26416015625,202.4542999267578,4.516602039337158,1.114490270614624,0.5767470002174377
180,0.43594273924827576,0.43148553371429443,40.71183395385742,6.055124282836914,4.289562639314681e-06,0.06658220291137695,1.0,1260.14501953125,203.03797912597656,4.5167670249938965,1.1144448518753052,0.5787074565887451
190,0.4348543882369995,0.43040284514427185,40.8797607421875,6.073605537414551,4.322064341977239e-06,0.0664266049861908,1.0,1265.2635498046875,203.64816284179688,4.516934394836426,1.1143996715545654,0.5807523727416992
200,0.4337600767612457,0.4293140172958374,41.055477142333984,6.0928802490234375,4.355562850832939e-06,0.06626351177692413,1.0,1270.6214599609375,204.28504943847656,4.517105579376221,1.114355206489563,0.5828813910484314
210,0.4326592981815338,0.4282185435295105,41.23906326293945,6.112957954406738,4.402711056172848e-06,0.06609281897544861,1.0,1276.2203369140625,204.94882202148438,4.517280101776123,1.114310383796692,0.5850940942764282
220,0.431551456451416,0.42711585760116577,41.43055725097656,6.133843421936035,4.45348268840462e-06,0.06591448187828064,1.0,1282.0618896484375,205.6396942138672,4.517458915710449,1.1142665147781372,0.5873898267745972
230,0.43043598532676697,0.4260055124759674,41.63002014160156,6.155545234680176,4.496381734497845e-06,0.06572841852903366,1.0,1288.1478271484375,206.35784912109375,4.517640113830566,1.1142221689224243,0.58976811170578
