epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,linear_regions,eig_1,eig_2,spec_1,spec_2,spec_3
1,0.6997852325439453,0.45925381779670715,32.98365783691406,7.636227130889893,0.0,0.0,1.0,1014.5816040039062,254.74388122558594,4.513623237609863,1.1150550842285156,0.5582929253578186
10,0.5852568745613098,0.35192930698394775,35.81340408325195,8.314474105834961,0.001039908966049552,0.001039908966049552,1.0,1097.77587890625,277.379150390625,4.5106000900268555,1.1133856773376465,0.6070721745491028
20,0.48064759373664856,0.24525611102581024,43.71226501464844,9.834390640258789,0.0011041564866900444,0.004638496320694685,1.0,1336.7388916015625,327.7559509277344,4.513278007507324,1.1127660274505615,0.714657723903656
30,0.39865463972091675,0.1627105474472046,53.925498962402344,11.699051856994629,0.0005179182626307011,0.005731772631406784,1.0,1649.8212890625,390.0798645019531,4.520915508270264,1.1263129711151123,0.831322431564331
40,1.0738252401351929,2.566160202026367,55.914306640625,-13.68720531463623,0.2623369097709656,0.3927256166934967,1.0,1569.9345703125,387.208251953125,4.538362503051758,1.216855764389038,0.8743042349815369
50,0.44490545988082886,0.20814085006713867,23.204402923583984,8.205035209655762,0.32356324791908264,0.025826960802078247,1.0,705.7725830078125,271.4171447753906,4.508968353271484,1.2249608039855957,0.5341318249702454
60,0.3678218424320221,0.13147291541099548,32.233760833740234,10.066174507141113,0.007127929013222456,0.02025226317346096,1.0,983.5928344726562,333.10791015625,4.51608419418335,1.2765710353851318,0.683885395526886
70,0.33442437648773193,0.09816849231719971,39.40613555908203,11.417724609375,0.0011852621100842953,0.018719814717769623,1.0,1207.291259765625,378.78790283203125,4.526211738586426,1.3184454441070557,0.7799617052078247
80,0.32262617349624634,0.08597712963819504,43.55672073364258,12.155323028564453,8.921697735786438e-05,0.015875253826379776,1.0,1337.9322509765625,404.1872253417969,4.536983966827393,1.3449628353118896,0.8334811925888062
90,0.31794261932373047,0.08100147545337677,45.57470703125,12.475919723510742,8.400180377066135e-06,0.012116212397813797,1.0,1401.716552734375,415.6239013671875,4.547504425048828,1.3606539964675903,0.862194299697876
100,0.31522616744041443,0.07823555916547775,46.47589111328125,12.582144737243652,5.476200021803379e-05,0.008164530619978905,1.0,1430.2109375,419.8335266113281,4.557471752166748,1.3706156015396118,0.8786662817001343
110,0.3131508231163025,0.07628421485424042,46.87929916381836,12.595827102661133,4.592898767441511e-05,0.004387795925140381,1.0,1442.9244384765625,420.9059753417969,4.566776275634766,1.3779093027114868,0.889590859413147
120,0.31141939759254456,0.07508238404989243,47.082908630371094,12.571846008300781,0.000715318601578474,0.00023441389203071594,1.0,1449.353515625,420.849853515625,4.575419902801514,1.3840588331222534,0.8980981707572937
130,0.3140384554862976,0.0887577161192894,47.02864074707031,12.44376277923584,0.01706143468618393,0.03113822266459465,1.0,1448.329345703125,420.3188171386719,4.584165573120117,1.3910129070281982,0.905593752861023
140,0.6477617621421814,0.3618178963661194,37.660308837890625,10.912752151489258,0.061183664947748184,0.15829876065254211,1.0,1121.720703125,359.10235595703125,4.59130859375,1.4212056398391724,0.8146608471870422
150,0.31398048996925354,0.081357441842556,37.118812561035156,11.001401901245117,0.10575893521308899,0.02304144948720932,1.0,1138.5712890625,370.0064392089844,4.588709354400635,1.438377857208252,0.8283376097679138
160,0.30814406275749207,0.07383902370929718,39.404502868652344,11.490272521972656,0.004844130016863346,0.01650426536798477,1.0,1211.4010009765625,385.88665771484375,4.593440532684326,1.453914999961853,0.8598015308380127
170,0.3067275583744049,0.07224930822849274,40.39259338378906,11.666799545288086,8.610909571871161e-05,0.017351198941469193,1.0,1242.7401123046875,392.1697082519531,4.59859561920166,1.4630320072174072,0.8753600716590881
180,0.30602535605430603,0.07204634696245193,40.83019256591797,11.721290588378906,0.0011290193069726229,0.020238202065229416,1.0,1256.56201171875,394.5767822265625,4.60357666015625,1.469383716583252,0.8843725919723511
190,0.30582335591316223,0.07301478832960129,41.051795959472656,11.727038383483887,0.002491084858775139,0.025114228948950768,1.0,1263.493896484375,395.5616455078125,4.608249664306641,1.4747155904769897,0.8906921744346619
200,0.30682697892189026,0.07630771398544312,41.15045928955078,11.703766822814941,0.004833017010241747,0.033341553062200546,1.0,1266.4508056640625,395.8868713378906,4.612614631652832,1.47988760471344,0.8955094814300537
