epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,linear_regions,eig_1,eig_2,spec_1,spec_2,spec_3
1,0.5401361780166626,0.4614557921886444,37.86864471435547,5.815145492553711,0.0,0.0,1.0,1173.83056640625,192.2406768798828,4.445550918579102,1.0982123613357544,0.5464658141136169
10,0.4536973521709442,0.4489094913005829,27.962955474853516,4.537258625030518,0.008566992357373238,0.008566992357373238,1.0,864.9970092773438,150.09059143066406,3.7102160453796387,0.9161578416824341,0.46168822050094604
20,0.4565653839111328,0.4501194357872009,19.41014289855957,3.626688003540039,0.001221984624862671,0.0015172276180237532,1.0,599.3102416992188,118.68299102783203,3.0342350006103516,0.7489935755729675,0.3860674798488617
30,0.4578657941818237,0.45195749402046204,13.034027099609375,3.037177085876465,0.006387794390320778,0.016075121238827705,1.0,402.4058532714844,98.48348236083984,2.4815421104431152,0.6124442219734192,0.3250444531440735
40,0.457584564447403,0.4525121748447418,8.609137535095215,2.658982753753662,0.002691591391339898,0.05491809546947479,1.0,265.7908630371094,85.8782730102539,2.0294089317321777,0.5010667443275452,0.27783289551734924
50,0.4574159817695618,0.45272064208984375,5.607151031494141,2.424938440322876,0.0075197163969278336,0.1140710711479187,1.0,174.51246643066406,78.12582397460938,1.6593668460845947,0.4103429317474365,0.24167117476463318
60,0.45712290167808534,0.4526593089103699,3.667266845703125,2.278447151184082,0.008292503654956818,0.19799430668354034,1.0,116.9272232055664,73.43829345703125,1.356606125831604,0.33706527948379517,0.2159530520439148
70,0.45705626893043516,0.4525113105773926,2.4669699668884277,2.1592228412628174,0.008148998953402042,0.28852659463882446,1.0,81.94590759277344,70.65389251708984,1.10928475856781,0.27970731258392334,0.19964100420475006
80,0.4568365206718445,0.4524947702884674,2.173340320587158,1.614074468612671,0.00029170874040573835,0.10353970527648926,1.0,69.0501708984375,60.644832611083984,0.9078245162963867,0.23959404230117798,0.1911401003599167
90,0.4569373424053192,0.4527967870235443,2.1336522102355957,1.0915621519088745,0.0013023947831243277,0.07579412311315536,1.0,68.08826446533203,46.58799362182617,0.7444568872451782,0.21627402305603027,0.18780335783958435
100,0.45767928075790404,0.4534805715084076,2.1134231090545654,0.7436029314994812,0.0009662366355769336,0.07183077931404114,1.0,67.52752685546875,36.59257507324219,0.6130642294883728,0.20452886819839478,0.18781284987926483
110,0.4587734889984131,0.4546666145324707,2.1015028953552246,0.5836790800094604,0.00017457600915804505,0.07196001708507538,1.0,67.18646240234375,28.91456413269043,0.5083752274513245,0.19898392260074615,0.18917888402938843
