epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,linear_regions,eig_1,eig_2,spec_1,spec_2,spec_3
1,0.7352759838104248,0.5718376040458679,15.511069297790527,12.118401527404785,0.0,0.0,1.0,450.2953796386719,284.0355529785156,4.51389217376709,1.1153738498687744,0.5541477203369141
10,0.3287356495857239,0.5916385054588318,14.250030517578125,9.129341125488281,0.014902103692293167,0.014902103692293167,1.0,449.64190673828125,272.9024963378906,4.513796329498291,1.1160142421722412,0.5558064579963684
20,0.20623034238815308,0.871651828289032,14.92577075958252,8.902945518493652,0.013234167359769344,0.04345657676458359,1.0,475.89501953125,283.0155029296875,4.515974521636963,1.116696834564209,0.576939046382904
30,0.1686173677444458,1.0610826015472412,15.798054695129395,9.464944839477539,0.006315136328339577,0.06139086186885834,1.0,501.2156982421875,298.0912780761719,4.517678737640381,1.1169917583465576,0.5935187339782715
40,0.15286609530448914,1.1487572193145752,16.400848388671875,10.028329849243164,0.0020912543404847383,0.06717903912067413,1.0,518.3128051757812,312.01214599609375,4.5188140869140625,1.1170588731765747,0.6048176288604736
50,0.1433825045824051,1.1748279333114624,16.840272903442383,10.392135620117188,0.0007677227258682251,0.07063774019479752,1.0,531.9659423828125,321.6004333496094,4.519626140594482,1.117052435874939,0.6132261157035828
60,0.13601897656917572,1.1707134246826172,17.17906951904297,10.666314125061035,0.0003029908984899521,0.07262662798166275,1.0,541.81298828125,328.7781982421875,4.520284652709961,1.1170306205749512,0.6204450726509094
70,0.1295563131570816,1.153099536895752,17.492448806762695,10.881426811218262,0.00014923978596925735,0.07435161620378494,1.0,551.3981323242188,335.0411071777344,4.520874977111816,1.1170144081115723,0.6273342370986938
80,0.12360100448131561,1.1302396059036255,17.77646827697754,11.058744430541992,5.2801333367824554e-06,0.07665608078241348,1.0,559.7919921875,340.2708435058594,4.521440029144287,1.1170201301574707,0.6342767477035522
90,0.11828546226024628,1.1070088148117065,18.128273010253906,11.249008178710938,2.595165278762579e-05,0.0782458633184433,1.0,571.10498046875,345.611083984375,4.522007465362549,1.1170039176940918,0.6413609385490417
100,0.11328725516796112,1.0833483934402466,18.451316833496094,11.438314437866211,9.044527541846037e-05,0.07977262884378433,1.0,581.0678100585938,351.2027587890625,4.522576332092285,1.116986632347107,0.6485929489135742
110,0.10848015546798706,1.0592979192733765,18.756839752197266,11.621891021728516,2.076965756714344e-05,0.08109404146671295,1.0,590.6678466796875,356.9911804199219,4.523155212402344,1.1169859170913696,0.6559975743293762
120,0.10385509580373764,1.0355994701385498,19.071996688842773,11.814693450927734,3.1385570764541626e-07,0.08233891427516937,1.0,600.6893310546875,362.96002197265625,4.523740768432617,1.1170026063919067,0.6635847091674805
130,0.09941380470991135,1.0126410722732544,19.399076461791992,12.012606620788574,8.801347576081753e-06,0.08343414962291718,1.0,610.9796142578125,368.852294921875,4.524331569671631,1.1170313358306885,0.6713353991508484
140,0.09513230621814728,0.9904918074607849,19.732086181640625,12.20930290222168,1.073197927325964e-05,0.08459685742855072,1.0,621.3961791992188,374.80987548828125,4.524924278259277,1.1170700788497925,0.6792222261428833
150,0.09098586440086365,0.9690840244293213,20.07516860961914,12.410676956176758,3.853929229080677e-06,0.08581503480672836,1.0,632.0673217773438,380.901123046875,4.525522232055664,1.1171215772628784,0.6872197389602661
160,0.08697013556957245,0.9485058784484863,20.42721939086914,12.618010520935059,5.076872184872627e-06,0.08680400997400284,1.0,643.2439575195312,387.4914245605469,4.526127338409424,1.1171830892562866,0.6953060626983643
170,0.08308766782283783,0.9288327693939209,20.7882022857666,12.831806182861328,7.24010169506073e-06,0.08775175362825394,1.0,654.501220703125,393.9292297363281,4.526734352111816,1.1172549724578857,0.7034584283828735
180,0.07933741807937622,0.9101442694664001,21.16440200805664,13.048065185546875,9.483308531343937e-06,0.08856420964002609,1.0,666.2410278320312,400.4490661621094,4.527341842651367,1.117336630821228,0.7116516828536987
190,0.07571572065353394,0.8924002051353455,21.53052520751953,13.270475387573242,9.089824743568897e-06,0.08938514441251755,1.0,677.9752197265625,407.42657470703125,4.52794885635376,1.1174256801605225,0.7198635935783386
