epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,linear_regions,eig_1,eig_2,spec_1,spec_2,spec_3,spec_4
1,1.5015798807144165,2.052839994430542,27.114013671875,15.975807189941406,0.0,0.0,306.0,858.2874755859375,538.6719970703125,6.6402058601379395,1.130670189857483,1.1350938081741333,0.5821552872657776
5,1.1727796792984009,2.588000535964966,33.33164978027344,22.75525665283203,0.010773513466119766,0.010773513466119766,290.0,1057.9129638671875,739.6483154296875,6.641435146331787,1.1306649446487427,1.1351094245910645,0.6124538779258728
10,1.068345069885254,2.9598746299743652,46.41731643676758,34.19475555419922,0.010568452998995781,0.02359985187649727,298.0,1484.8599853515625,1112.2947998046875,6.643233776092529,1.130768895149231,1.1348515748977661,0.6690049171447754
15,1.0508911609649658,4.559803009033203,65.69578552246094,48.7401123046875,0.13223779201507568,0.17572319507598877,304.0,1965.5853271484375,1376.6392822265625,6.645364284515381,1.1310757398605347,1.1354142427444458,0.7423009276390076
20,1.02394437789917,2.9181149005889893,26.670669555664062,21.79183578491211,0.11155105382204056,0.0010141218081116676,332.0,852.07568359375,709.488525390625,6.6341962814331055,1.1324186325073242,1.1355167627334595,0.7065633535385132
25,0.8790838718414307,3.3143653869628906,66.31520080566406,43.61180114746094,0.07553471624851227,0.11142350733280182,323.0,2216.310302734375,1333.80517578125,6.636556625366211,1.1359145641326904,1.1374825239181519,0.791061282157898
30,1.1290614604949951,2.6132938861846924,41.170597076416016,21.36033821105957,0.044983576983213425,0.018392251804471016,371.0,1357.811767578125,613.8176879882812,6.629220962524414,1.146327018737793,1.138672947883606,0.7886431813240051
35,1.1181057691574097,4.021993160247803,44.404441833496094,19.165712356567383,0.18233822286128998,0.09881436824798584,383.0,1215.258544921875,666.6688232421875,6.629515647888184,1.165652871131897,1.141994833946228,0.8340135216712952
40,0.7781870365142822,4.538946628570557,37.98525619506836,32.064109802246094,0.14461897313594818,0.07655341923236847,353.0,1192.1253662109375,981.6920776367188,6.631682395935059,1.1817824840545654,1.1469988822937012,0.8793641328811646
45,0.8815397620201111,5.019922256469727,71.28189849853516,45.4137077331543,0.12291479110717773,0.14412027597427368,371.0,2391.049560546875,1187.07470703125,6.632226943969727,1.2017121315002441,1.1537410020828247,0.9138924479484558
50,0.6867032647132874,3.9962058067321777,49.59524154663086,42.429927825927734,0.07242752611637115,0.03346007317304611,387.0,1653.8302001953125,1339.4522705078125,6.630496501922607,1.218808650970459,1.1634668111801147,0.9420832395553589
55,0.8941999673843384,8.688440322875977,55.91429901123047,43.2276611328125,0.07892538607120514,0.15012454986572266,360.0,1429.2349853515625,1155.50439453125,6.641584873199463,1.2400625944137573,1.1677441596984863,0.9824042320251465
60,0.6213932037353516,4.468057155609131,53.32630157470703,40.96467590332031,0.09514907002449036,0.00038162432610988617,381.0,1722.27294921875,1274.2410888671875,6.632937908172607,1.251323938369751,1.184937834739685,0.9910498261451721
65,0.8166844248771667,5.216144561767578,46.34358215332031,23.957298278808594,0.07466539740562439,0.15618059039115906,398.0,1219.0113525390625,825.129638671875,6.636490821838379,1.2723643779754639,1.1955944299697876,1.0107990503311157
70,0.6479800939559937,4.873190402984619,42.80830764770508,32.80118179321289,0.1581423580646515,0.11129079759120941,387.0,1338.1956787109375,990.0772705078125,6.63761043548584,1.2865395545959473,1.2094407081604004,1.0365805625915527
75,0.6495882272720337,4.187831878662109,61.234779357910156,34.76801300048828,0.13567423820495605,0.14626291394233704,383.0,2044.99609375,1035.63916015625,6.637300968170166,1.299559473991394,1.2222522497177124,1.0568574666976929
80,0.6285548210144043,3.775157928466797,36.83458709716797,32.1199951171875,0.08479831367731094,0.031990788877010345,382.0,1198.8779296875,1032.9349365234375,6.63818359375,1.3153598308563232,1.2345236539840698,1.0729838609695435
85,0.7007889151573181,4.512310981750488,40.07976150512695,25.902265548706055,0.08914130926132202,0.13403338193893433,395.0,1154.7071533203125,868.6971435546875,6.64180850982666,1.3303887844085693,1.2452136278152466,1.0924627780914307
90,0.5973420143127441,4.357762336730957,41.333045959472656,33.97056198120117,0.10853885859251022,0.07932325452566147,401.0,1304.070556640625,1110.584716796875,6.643226146697998,1.3408350944519043,1.2570730447769165,1.1121405363082886
95,0.5862371325492859,4.724195957183838,40.78606414794922,32.561241149902344,0.08295898884534836,0.13142162561416626,393.0,1221.6689453125,1057.77294921875,6.644747734069824,1.3541291952133179,1.2660433053970337,1.1246988773345947
100,0.6529380083084106,4.752685546875,33.92755126953125,28.622501373291016,0.119014672935009,0.15995636582374573,390.0,1034.6666259765625,887.7633056640625,6.646743297576904,1.364762544631958,1.2714802026748657,1.1303069591522217
105,0.5568816065788269,5.06501579284668,50.513511657714844,40.09941864013672,0.13560208678245544,0.1169152781367302,385.0,1627.0369873046875,1150.816650390625,6.647495269775391,1.373695731163025,1.2821667194366455,1.14927339553833
110,0.5971760749816895,4.164063453674316,33.4000358581543,28.16115379333496,0.09568847715854645,0.08177417516708374,395.0,1080.7916259765625,916.9850463867188,6.645909786224365,1.3839415311813354,1.2867882251739502,1.1462476253509521
